species,JENKINS_SPGRPCD,type,WDSG
6237,8,H,0.57687
6248,8,H,0.5
6463,8,H,0.38022
6503,8,H,0.48
7345,8,H,0.38
7431,8,H,0.4
7884,8,H,0.8808
8463,8,H,0.85
8473,8,H,0.48216
8506,8,H,0.674
250,3,S,0.41
8826,8,H,0.47
260,3,S,0.41
970,8,H,0.54
6106,8,H,0.52
6422,8,H,0.71
7209,8,H,0.696
600,8,H,0.44
7517,8,H,0.772
8153,8,H,0.48
8210,8,H,0.59
8310,8,H,0.57
8531,8,H,0.7
991,8,H,0.52
8808,8,H,0.55104
6090,8,H,0.5
6408,8,H,0.61992
520,8,H,0.64
6999,8,H,0.52
7587,8,H,0.42
8207,8,H,0.33
8406,8,H,0.53
950,8,H,0.32
6724,8,H,0.48
490,8,H,0.61
6787,4,S,0.31
6866,8,H,0.5
7115,8,H,0.45
7250,8,H,0.56
580,8,H,0.42
7440,8,H,0.54
7513,8,H,0.48302
7793,8,H,0.72
8289,8,H,0.3444
8598,8,H,0.57
8617,8,H,0.52
8748,8,H,0.52
8788,8,H,0.61
8832,8,H,0.32553
6396,8,H,0.16
6444,8,H,0.3264
540,8,H,0.51
7464,8,H,0.52
7892,8,H,0.81795
8106,8,H,0.52
720,8,H,0.52
8400,8,H,0.52
8708,8,H,0.63284
6158,4,S,0.44546
6549,8,H,0.21
6741,8,H,0.474
70,1,S,0.49
8555,8,H,0.7
8875,8,H,0.52
7340,8,H,0.59409
8105,8,H,0.69
7127,8,H,0.39
8010,8,H,0.27552
7312,8,H,0.5363
6278,8,H,0.41
6096,8,H,0.38745
8287,8,H,0.3444
8292,8,H,0.48
8293,8,H,0.48
8884,8,H,0.65
6372,8,H,0.49
6378,8,H,0.54
6342,8,H,0.5
7217,8,H,0.72864
8758,8,H,0.47355
6838,8,H,0.5
6910,8,H,0.64
6977,8,H,0.48
6982,8,H,0.48
6985,8,H,0.48
6138,8,H,0.62423
6142,8,H,0.62423
6144,8,H,0.62423
6586,8,H,0.35
6949,8,H,0.715
7247,8,H,0.56
7619,8,H,0.33
7620,8,H,0.33
7625,8,H,0.33
6405,8,H,0.61992
7363,8,H,0.28
6043,8,H,0.66
6046,8,H,0.66
6969,8,H,0.58
6972,8,H,0.544
6970,8,H,0.52521
7163,8,H,0.49456
7169,8,H,0.4
7178,8,H,0.4
7179,8,H,0.3444
7906,8,H,0.44
6921,8,H,0.643
8699,8,H,0.63284
8700,8,H,0.80073
8705,8,H,0.63284
8058,8,H,0.3309
6091,8,H,0.4
8460,8,H,0.85
6148,8,H,0.65
8368,8,H,0.52
8390,8,H,0.52
8799,8,H,0.571
8801,8,H,0.55104
8074,8,H,0.55
8044,8,H,0.4305
8242,8,H,0.68705
8246,8,H,0.68705
8248,8,H,0.68705
7766,8,H,0.32
8665,8,H,0.43
8868,8,H,0.43
8837,8,H,0.33579
6885,8,H,0.20664
6645,8,H,0.52
6855,8,H,0.65
6990,8,H,0.66297
7133,8,H,0.48
7229,8,H,0.52
8008,8,H,0.27552
8009,8,H,0.27552
8104,8,H,0.69
8290,8,H,0.59409
8849,8,H,0.761
11,3,S,0.4
12,3,S,0.33
14,3,S,0.36
15,3,S,0.37
16,3,S,0.36
17,3,S,0.35
19,3,S,0.31
20,3,S,0.36
22,3,S,0.37
21,3,S,0.36
6001,8,H,0.52
6002,8,H,0.98154
6003,8,H,0.68
6004,8,H,0.71291
6016,8,H,0.52
6017,8,H,0.52
303,10,H,0.52
304,10,H,0.52
6006,8,H,0.55
6007,8,H,0.77
6019,8,H,0.52
6008,8,H,0.52
6009,8,H,0.52
6010,8,H,0.65
6011,8,H,0.55539
6012,8,H,0.52
6013,8,H,0.52
6014,8,H,0.77
6015,8,H,0.52
6018,8,H,0.52
6020,8,H,0.52
311,7,H,0.47
5145,7,H,0.47
5146,7,H,0.47
5147,8,H,0.47
321,10,H,0.47
322,10,H,0.47
5148,8,H,0.47
323,8,H,0.47
312,7,H,0.44
5155,7,H,0.47
5149,7,H,0.47
313,7,H,0.42
314,9,H,0.52
5150,8,H,0.48
315,7,H,0.44
320,7,H,0.47
5157,7,H,0.47
5151,7,H,0.47
316,7,H,0.49
317,7,H,0.44
318,9,H,0.56
319,7,H,0.47
5152,8,H,0.47
5156,7,H,0.47
5154,7,H,0.47
6021,8,H,0.52
906,8,H,0.52
6023,8,H,0.52
6025,8,H,0.52
6026,8,H,0.52
6028,8,H,0.52
6032,8,H,0.52
333,8,H,0.33
332,8,H,0.33
331,8,H,0.33
5163,8,H,0.33
5164,8,H,0.33
336,8,H,0.33
337,8,H,0.33
6034,8,H,0.52
6036,8,H,0.52
6037,8,H,0.52
6042,8,H,0.66
6044,8,H,0.66
6048,8,H,0.66297
6049,8,H,0.7706
341,8,H,0.46
6053,8,H,0.52
6055,8,H,0.52
6056,8,H,0.52
6057,8,H,0.3
6058,8,H,0.28413
345,8,H,0.52
6059,8,H,0.52
6060,8,H,0.52
6061,8,H,0.46
6062,8,H,0.57
6064,8,H,0.52
6066,8,H,0.52
6069,8,H,0.93935
6075,8,H,0.52
6078,8,H,0.43
6080,8,H,0.52
6082,8,H,0.52
6084,8,H,0.51
6085,8,H,0.51
5189,6,H,0.37
357,8,H,0.66
355,6,H,0.37
5188,6,H,0.37
6086,8,H,0.38573
353,6,H,0.37
352,6,H,0.37
351,6,H,0.37
5190,6,H,0.37
5192,6,H,0.37
6088,8,H,0.5
6089,8,H,0.5
6092,8,H,0.52
6093,8,H,0.52
6095,8,H,0.55965
5203,8,H,0.66
358,8,H,0.66
6101,8,H,0.52
6103,8,H,0.52
852,8,H,0.52
6107,8,H,0.52
6108,8,H,0.77
6111,8,H,0.52
6114,8,H,0.52
6118,8,H,0.5
6120,8,H,0.52
6124,8,H,0.52
6125,8,H,0.52
853,8,H,0.52
6127,8,H,0.52
6128,8,H,0.52
6129,8,H,0.52
6131,8,H,0.52
6137,8,H,0.52
6139,8,H,0.67
6143,8,H,0.62423
6135,8,H,0.67
6146,8,H,0.52
6147,8,H,0.52
6149,8,H,0.52
6150,8,H,0.52
6151,8,H,0.52
6152,8,H,0.52
5232,8,H,0.52
5233,8,H,0.52
6154,4,S,0.52
6155,4,S,0.41
6156,4,S,0.41
6157,4,S,0.52
362,8,H,0.58
361,8,H,0.58
6180,8,H,0.58
363,10,H,0.58
6159,8,H,0.82656
6161,8,H,0.62
6162,8,H,0.52
6163,8,H,0.52
6164,8,H,0.52
6165,8,H,0.52
6167,8,H,0.48
6169,8,H,0.48
6171,8,H,0.52
6173,8,H,0.52
6175,8,H,0.484
6177,8,H,0.55
6181,8,H,0.45
5256,8,H,0.52
367,8,H,0.52
6184,8,H,0.685
6186,8,H,0.68
6187,8,H,0.68
6193,8,H,0.65
6197,8,H,0.42
6198,8,H,0.52
986,8,H,0.52
6203,8,H,0.65
6206,8,H,0.52
5259,8,H,0.52
5260,7,H,0.52
5261,8,H,0.52
6213,8,H,0.65
6216,8,H,0.52
6217,8,H,0.52
6219,8,H,0.52
6220,8,H,0.52
6221,8,H,0.43
6222,8,H,0.46925
6224,8,H,0.52
6225,8,H,0.6888
6241,8,H,0.6888
6226,8,H,0.52
6227,8,H,0.52
6228,8,H,0.52
6229,8,H,0.52
6231,8,H,0.52
6232,8,H,0.52
6252,8,H,0.52
6218,8,H,0.52
6233,8,H,0.52
6235,8,H,0.52
371,7,H,0.55
372,7,H,0.6
376,7,H,0.48
373,7,H,0.49
374,7,H,0.51
375,7,H,0.48
5279,7,H,0.51
5280,7,H,0.51
379,7,H,0.45
5281,7,H,0.51
377,7,H,0.51
378,7,H,0.51
6240,8,H,0.52
6242,8,H,0.65
6243,8,H,0.65
6244,8,H,0.65
6246,8,H,0.65
