"","plot_id","inv_date","pBA_ABCO","pBA_CADE","pBA_OTHER","pBA_PILA","pBA_PIPO","pBA_PSME","pBA_(all)","azimuth","fuelload_litter_Mgha","fuelload_duff_Mgha","fuelload_1h_Mgha","fuelload_10h_Mgha","fuelload_100h_Mgha","fuelload_1000s_Mgha","fuelload_1000r_Mgha","fuelload_fwd_Mgha","fuelload_1000h_Mgha","fuelload_surface_Mgha","fuelload_total_Mgha"
"1","0040-00002",2001-06-01,0.386935577584255,0.303974125035865,0,0,0,0.30909029737988,1,129,31.8362207083634,52.6475238958212,0.970590034801748,3.03186999847,0,0,7.94290140823645,4.00246003327174,7.94290140823645,43.7815821498716,96.4291060456928
"2","0040-00002",2001-06-01,0.386935577584255,0.303974125035865,0,0,0,0.30909029737988,1,190,21.224147138909,30.0842993690407,1.06158285056441,2.52655833205833,3.43525705050942,0,14.6295275937416,7.02339823313217,14.6295275937416,42.8770729657828,72.9613723348235
"3","0040-00002",2003-06-01,0.391481304303179,0.2977289226829,0,0,0,0.310789773013921,1,190,21.1895967749149,7.51448138015722,0.87815264658099,5.56235571645127,0,0,12.3975201730004,6.44050836303226,12.3975201730004,40.0276253109476,47.5421066911048
"4","0040-00002",2003-06-01,0.391481304303179,0.2977289226829,0,0,0,0.310789773013921,1,129,21.1895967749149,30.0579255206289,2.24080330506873,6.06802441794684,3.42260890585986,0,4.90228738867009,11.7314366288754,4.90228738867009,37.8233207924604,67.8812463130893
"5","0040-00002",2009-06-01,0.262936067727339,0.30974391410824,0,0,0,0.42732001816442,1,190,10.4052060120988,59.263724436011,0.901743827485087,5.65328845132939,3.53713437205009,0,0,10.0921666508646,0,20.4973726629634,79.7610970989743
"6","0040-00002",2009-06-01,0.262936067727339,0.30974391410824,0,0,0,0.42732001816442,1,129,0,51.8557588815096,2.02209221920898,5.18218108038528,0,0,0,7.20427329959426,0,7.20427329959426,59.0600321811038
"7","0040-00003",2001-06-01,0.239169558361792,0.174962919341657,0,0.192971116987757,0.235824731629595,0.157071673679199,1,296,25.6844522519448,14.6331377013294,0.191567143908472,0,0,0,4.86962591906918,0.191567143908472,4.86962591906918,30.7456453149225,45.3787830162519
"8","0040-00003",2001-06-01,0.239169558361792,0.174962919341657,0,0.192971116987757,0.235824731629595,0.157071673679199,1,228,18.3460373228177,21.9497065519941,0.23945892988559,0,3.46073533308183,0,22.7383359030916,3.70019426296742,22.7383359030916,44.7845674888768,66.7342740408709
"9","0040-00003",2003-06-01,0.242046959028607,0.173556347694137,0,0.191962258277021,0.235985714493131,0.156448720507104,1,228,14.6853496974443,80.4826722048836,0.526561834930509,0,3.45781434167704,0,56.618474477968,3.98437617660755,56.618474477968,75.2882003520198,155.770872556903
"10","0040-00003",2003-06-01,0.242046959028607,0.173556347694137,0,0.191962258277021,0.235985714493131,0.156448720507104,1,296,11.0140122730832,29.2664262563213,0.813777381256242,0,3.45781434167704,0,4.0240564660958,4.27159172293328,4.0240564660958,19.3096604621123,48.5760867184336
"11","0040-00003",2009-06-01,0.278294884885439,0.16440080750173,0,0.197976985076367,0.228605065318819,0.130722257217646,1,228,18.4552272807293,80.6919199809338,1.82641025060946,1.99043091190862,3.48238422015513,0,37.4753024618524,7.29922538267322,37.4753024618524,63.229755125255,143.921675106189
"12","0040-00003",2009-06-01,0.278294884885439,0.16440080750173,0,0.197976985076367,0.228605065318819,0.130722257217646,1,296,7.38209091229174,51.3494036242306,0.0434859583478444,0,0,0,0,0.0434859583478444,0,7.42557687063958,58.7749804948702
"13","0040-00005",2001-06-01,0.302309110329249,0.404231433364793,0,0,0.181078228193599,0.112381228112359,1,93,34.3104596411395,146.119062636478,0.297985912851721,1.01281991763047,3.80794581203825,0,21.4193180252146,5.11875164252044,21.4193180252146,60.8485293088745,206.967591945353
"14","0040-00005",2001-06-01,0.302309110329249,0.404231433364793,0,0,0.181078228193599,0.112381228112359,1,272,29.408965406691,107.666677732142,0.212847080608372,1.5192298764457,3.80794581203825,0,8.17902124970388,5.54002276909232,8.17902124970388,43.1280094254872,150.794687157629
"15","0040-00005",2003-06-01,0.304755000607415,0.400400365505184,0,0,0.180184548426796,0.114660085460605,1,93,63.6805563047003,84.542925101808,0.169918406888327,3.03977060663814,7.59984474991057,0,25.3033614864171,10.809533763437,25.3033614864171,99.7934515545545,184.336376656362
"16","0040-00005",2003-06-01,0.304755000607415,0.400400365505184,0,0,0.180184548426796,0.114660085460605,1,272,34.2895303179156,69.1714841742065,0.169918406888327,7.09279808215565,22.7995342497317,0,18.6637594323812,30.0622507387757,18.6637594323812,83.0155404890725,152.187024663279
"17","0040-00005",2009-06-01,0.328739396426297,0.34582581762127,0,0,0.19236425379179,0.133070532160643,1,272,52.4983570851125,83.7924650214698,0.156362591240316,0.467961851452396,7.54401529679852,0,0,8.16833973949123,0,60.6666968246037,144.459161846073
"18","0040-00005",2009-06-01,0.328739396426297,0.34582581762127,0,0,0.19236425379179,0.133070532160643,1,93,52.4983570851125,76.1749682013362,0.312725182480633,3.74369481161917,0,0,9.12220368565251,4.0564199940998,9.12220368565251,65.6769807648648,141.851948966201
"19","0040-00007",2001-06-01,0.513402490084142,0.0906896621440308,0.0364717926473778,0.0540588849392918,0,0.305377170185157,1,224,33.1909081096828,66.3000521409614,1.43787816756481,2.0752321724944,0,0,0,3.51311034005921,0,36.704018449742,103.004070590703
"20","0040-00007",2001-06-01,0.513402490084142,0.0906896621440308,0.0364717926473778,0.0540588849392918,0,0.305377170185157,1,336,33.1909081096828,58.9333796808546,0.978980880044128,2.594040215618,3.01603479091804,0,16.9071575216687,6.58905588658016,16.9071575216687,56.6871215179316,115.620501198786
"21","0040-00007",2003-06-01,0.514344821917058,0.0858725584666463,0.0411684652305556,0.0537281192486676,0,0.304886035137073,1,167,9.44334483105069,44.2141777221641,0.827327044662994,0.518955317269518,0,0,0,1.34628236193251,0,10.7896271929832,55.0038049151473
"22","0040-00007",2003-06-01,0.514344821917058,0.0858725584666463,0.0411684652305556,0.0537281192486676,0,0.304886035137073,1,332,18.8866896621014,73.6902962036069,0.888610529452845,2.07582126907807,6.01596761384144,7.62828865569085,6.78553373638243,8.98039941237236,14.4138223920733,42.280911466547,115.971207670154
"23","0040-00007",2009-06-01,0.513693923342316,0.0469886263896711,0.0421857698006561,0.0560273645520398,0.0371886525129514,0.303915663402366,1,167,13.5679359197599,102.447511162711,0.477863914037167,3.84195709315908,3.02756578630639,0,0,7.34738679350264,0,20.9153227132626,123.362833875973
"24","0040-00007",2009-06-01,0.513693923342316,0.0469886263896711,0.0421857698006561,0.0560273645520398,0.0371886525129514,0.303915663402366,1,332,9.04529061317329,87.8121524251805,0.597329892546458,6.72342491302839,3.02756578630639,4.71512926981778,8.88814385630181,10.3483205918812,13.6032731261196,32.9968843311741,120.809036756355
