JENKINS_SPGRPCD,model,a,b,c
1,5,139.7525338,2.923771514,-1.685241344
2,5,14.02057768,2.279310614,-0.624678091
3,5,10.47636902,2.458428362,-0.592824364
4,5,3.356500484,3.465833243,-1.004347672
5,5,16.30105568,3.051079332,-1.033076897
6,5,1.276802137,3.002972944,-0.393304301
7,5,0.005866986,2.776217173,1.019083999
8,5,0.79860485,2.969162133,-0.301902411
9,5,0.198994402,2.681943186,0.288130955
