SPCD,DIVISION,STDORGCD,model,a,b,c
202,M330,,1,0.006448373,1.909124166,0.840505545
202,,,1,0.00444456,1.838738536,0.971748116
211,260,,1,0.003736215,1.869619393,0.966936267
211,,,1,0.003773384,1.868914775,0.965482104
221,230,,1,0.001560447,1.864967372,1.189451784
221,,,1,0.001560447,1.864967372,1.189451784
222,230,,1,0.012707404,1.838973205,0.728191707
222,,,1,0.012707404,1.838973205,0.728191707
241,130,,1,0.007397087,1.879959782,0.806096219
241,210,,1,0.004284474,1.729092216,1.035707234
241,,,1,0.006997051,1.85343519,0.836382831
242,340,,1,0.00106282,1.427379937,1.515531344
242,M240,,1,0.01297323,2.007966757,0.605039192
242,,,1,0.01161855,2.001121304,0.632545227
260,,,1,0.003837271,1.909271852,0.980041425
261,130,,1,0.002564354,1.899540985,1.076217246
261,210,,1,0.003900092,1.895516731,0.96957613
261,220,,1,0.004832476,1.84579385,0.949173777
261,M220,,1,0.006557467,2.235217316,0.615706224
261,,,1,0.005411299,2.117482035,0.742462134
263,340,,1,0.002293426,1.72113285,1.187131063
263,M240,,1,0.006341757,1.946976961,0.834175931
263,,,1,0.005337506,1.912023516,0.893786324
264,,,1,0.003837271,1.889738511,0.980041425
311,,,1,0.004090783,1.915185865,0.929370753
313,,,1,0.002926978,1.704551746,1.122291447
314,,,1,0.004521469,1.927289725,0.904020368
315,,,1,0.004090783,1.918828559,0.929370753
316,210,,1,0.003469205,1.860630151,1.002428701
316,220,,1,0.003889873,1.775816138,1.022094454
316,230,,1,0.004028347,1.771373509,1.008155413
316,M220,,1,0.003372462,1.909873967,0.975448469
316,,,1,0.003068677,1.811800478,1.054949234
317,220,,1,0.001947481,1.740537334,1.188182295
317,,,1,0.002931077,1.834062788,1.038258113
318,210,,1,0.00285305,1.925567768,1.031342797
318,220,,1,0.004588663,1.948728032,0.913605292
318,M210,,1,0.003170101,1.931258269,1.010045825
318,M220,,1,0.00188518,1.922370625,1.107207074
318,,,1,0.003371502,1.949891327,0.979303901
330,M220,,1,0.002509991,1.889291323,1.061313501
330,,,1,0.002512883,1.892065716,1.059228594
351,M240,,1,0.003255165,1.978974666,0.968100598
351,,,1,0.003048124,1.970262513,0.987186553
370,230,,1,0.007758319,1.867848673,0.790813096
370,M220,,1,0.004104483,1.805543534,0.990507423
370,,,1,0.004400531,1.788681344,0.980135729
371,130,,1,0.008759198,1.96808992,0.691761896
371,210,,1,0.008332806,2.022292595,0.716005439
371,220,,1,0.005593728,1.949462203,0.870484032
371,M210,,1,0.00538796,1.962725479,0.868507812
371,M220,,1,0.002720788,1.884086741,1.053101662
371,,,1,0.004568807,1.987957961,0.881862438
372,,,1,0.005407454,1.866199885,0.900112737
373,,,1,0.004090783,1.913676798,0.929370753
375,130,,1,0.003725947,1.860087926,0.990301442
375,210,,1,0.002576129,1.861099302,1.084298069
375,220,,1,0.009121591,1.958570869,0.734030849
375,M210,,1,0.008749073,1.952231855,0.748025689
375,,,1,0.003481221,1.876424242,1.005219818
379,,,1,0.004090783,1.917027058,0.929370753
391,,,1,0.004136564,1.905653807,0.938705552
400,220,,1,0.002645312,1.734475457,1.148249319
400,230,,1,0.00333391,1.941463458,0.965260461
400,M220,,1,0.002916353,1.928160042,1.004747066
400,M230,,1,0.005355477,2.056663628,0.794460088
400,,,1,0.003149641,1.927967439,0.987636538
402,,,1,0.004521469,1.935836904,0.904020368
403,220,,1,0.004757545,1.98209005,0.873258544
403,,,1,0.004063762,1.992497995,0.903208813
404,230,,1,0.003616577,1.874562593,0.990172146
404,,,1,0.003616577,1.874562593,0.990172146
405,,,1,0.004521469,1.932309229,0.904020368
407,,,1,0.004311944,1.949627398,0.91359962
409,,,1,0.004521469,1.931464844,0.904020368
