JENKINS_SPGRPCD,model,a,b,c
1,1,0.005719265,1.832100026,0.909135025
2,1,0.00444456,1.838738536,0.971748116
3,1,0.004141204,1.89407471,0.958414311
4,1,0.003842772,1.93501172,0.958503574
5,1,0.004299103,1.877040498,0.955276809
6,1,0.006043319,1.916648363,0.854345117
7,1,0.00558812,2.008121038,0.811937989
8,1,0.003342585,1.861924531,1.015964522
9,1,0.004059248,1.870445043,0.970785882
