JENKINS_SPGRPCD,model,alpha,beta
1,6,2.191076546,0.79760266
2,6,2.203905935,0.929990423
3,6,2.287775069,0.942886746
4,6,2.114877964,0.912880025
5,6,2.242154838,0.902971037
6,6,2.277389984,0.953178587
7,6,2.454410128,0.901628487
8,6,2.353772358,0.831640004
9,6,2.458870605,0.860345981
