SPCD,DIVISION,STDORGCD,model,a,a1,b,b1,c,c1
611,,,1,0.176429479,,2.219442715,,0.698966292,
621,230,,4,0.25057406,,2.114664101,-0.003592877,0.657241844,
621,M220,,4,0.154317349,,2.568115687,0.011588086,0.543413156,
621,,,4,0.284661872,,2.001103314,-0.016648396,0.650792314,
653,,,1,0.359289578,,2.055452878,,0.610643492,
691,230,,1,0.194805944,,1.939361634,,0.7682613,
691,,,1,0.194805944,,1.939361634,,0.7682613,
693,,,1,0.359289578,,2.113238225,,0.610643492,
694,230,,1,0.960248321,,2.412438666,,0.177228973,
694,,,1,0.960248321,,2.412438666,,0.177228973,
711,,,1,0.359289578,,2.071689208,,0.610643492,
731,,,1,0.359289578,,2.083871933,,0.610643492,
740,230,,1,0.099825153,,2.032553584,,0.898045231,
740,,,1,0.337387708,,2.148198161,,0.56216026,
741,210,,1,0.063679544,,2.044922633,,1.029077254,
741,,,1,0.063679544,,2.044922633,,1.029077254,
742,,,1,0.183406635,,1.980557158,,0.776309008,
743,210,,1,0.446369541,,2.307513916,,0.440759181,
743,,,1,0.446369541,,2.307513916,,0.440759181,
746,210,,1,0.219583283,,2.152173348,,0.702499308,
746,M330,,1,0.148096171,,1.960083605,,0.877910539,
746,,,1,0.077568867,,2.00707876,,1.018290332,
762,210,,1,0.0923161,,1.819131811,,1.13745364,
762,,,1,0.198661401,,1.998036007,,0.847256421,
802,210,,2,0.185615748,,1.909923379,1.867881975,0.937170791,
802,220,,2,0.260621543,,1.68852516,2.401181762,0.962303387,
802,230,,2,0.165274989,,2.001535824,2.305559605,0.922473495,
802,M220,,2,0.024470323,,1.93799905,1.88681949,1.403264432,
802,,,2,0.050815817,,1.901310248,1.959335919,1.2649823,
806,M220,,1,0.127408231,,1.959122505,,1.013780167,
806,,,1,0.264408284,,2.018938385,,0.81646861,
812,,,1,0.422428568,,2.282802709,,0.535120267,
813,,,1,0.426589681,,2.054761007,,0.637323715,
819,,,1,0.426589681,,2.241349172,,0.637323715,
820,,,1,0.426589681,,2.12930132,,0.637323715,
822,230,,1,0.256737292,,2.19465205,,0.659512841,
822,,,1,0.256737292,,2.19465205,,0.659512841,
823,,,1,0.426589681,,2.023817449,,0.637323715,
824,,,1,0.426589681,,2.174921885,,0.637323715,
827,230,,1,0.198112644,,1.949045814,,0.918899075,
827,,,1,0.198112644,,1.949045814,,0.918899075,
828,230,,1,0.288336273,,2.226705257,,0.637411393,
828,,,1,0.288336273,,2.226705257,,0.637411393,
831,230,,1,0.146976739,,1.975301052,,0.953728002,
831,,,1,0.146976739,,1.975301052,,0.953728002,
832,M220,,1,0.358022711,,2.3286472,,0.545529814,
832,,,1,0.330459585,,2.332430728,,0.560678945,
833,210,,1,0.806921231,,2.086126467,,0.501127694,
833,,,1,0.642811096,,2.173042958,,0.508678825,
835,,,1,0.426589681,,2.093743422,,0.637323715,
837,,,1,0.673108646,,2.297017028,,0.403264056,
840,,,1,0.426589681,,2.170505127,,0.637323715,
842,,,1,0.426589681,,2.237831724,,0.637323715,
901,,,1,0.359289578,,2.159720641,,0.610643492,
920,,,1,0.183406635,,1.934937524,,0.776309008,
922,,,1,0.183406635,,1.928925794,,0.776309008,
950,210,,1,0.157124269,,1.974207604,,0.834615788,
950,,,1,0.150199697,,2.022000111,,0.813433571,
951,,,1,0.359289578,,2.04306793,,0.610643492,
970,230,,1,0.364527236,,1.959591428,,0.694720835,
970,,,1,0.404477403,,1.978292925,,0.661280749,
972,210,,1,0.840212676,,2.389262957,,0.240469269,
972,,,1,0.808350136,,2.356851122,,0.269505607,
999,,,1,0.359289578,,2.10136858,,0.610643492,
