JENKINS_SPGRPCD,model,a,b,c
1,1,0.006419335,1.808424036,0.857982524
2,1,0.002661495,1.701389437,1.118450094
3,1,0.002186946,1.774662786,1.138638416
4,1,0.002966164,1.892635521,1.004043997
5,1,0.002589658,1.720103984,1.133217595
6,1,0.003638299,1.797344245,1.002439989
7,1,0.004762398,2.000019654,0.824681735
8,1,0.002340041,1.894587354,1.03509406
9,1,0.002653263,1.8973528,1.015463475
