SPCD,DIVISION,STDORGCD,model,a,a1,b,b1,c,c1
402,,,1,0.383493368,,1.986954351,,-0.131159328,
403,,,1,0.383493368,,2.037133547,,-0.131159328,
431,,,1,1.36909812,,2.298313126,,-0.706453868,
460,,,1,1.36909812,,2.378234855,,-0.706453868,
461,230,,1,0.003623695,,1.576944506,,1.10952199,
461,,,1,0.003623695,,1.576944506,,1.10952199,
462,,,1,1.36909812,,2.287490817,,-0.706453868,
471,,,1,1.36909812,,2.129799744,,-0.706453868,
491,230,,1,0.713461736,,2.263126764,,-0.434861858,
491,,,1,0.236496976,,2.37043336,,-0.123739093,
521,,,1,1.36909812,,2.356633201,,-0.706453868,
531,210,,1,0.324920715,,1.609509076,,-0.150995118,
531,,,1,0.005694718,,1.435768475,,1.034561289,
540,230,,1,0.857704027,,2.40902865,,-0.713260835,
540,,,1,0.005592867,,1.652831404,,0.908279098,
541,210,,1,0.118000152,,1.328628443,,0.351061806,
541,,,1,0.135587931,,1.330617476,,0.316491316,
543,,,1,1.36909812,,1.990651633,,-0.706453868,
544,230,,1,0.041451851,,1.270652588,,0.669962615,
544,,,1,0.106761064,,1.480384049,,0.299913309,
591,,,1,1.36909812,,2.286721883,,-0.706453868,
611,230,,1,1.126667596,,2.296820299,,-0.706002085,
611,,,1,1.211029865,,2.292090164,,-0.718887613,
621,230,,1,6.840226756,,2.565285845,,-1.285330795,
621,M220,,1,16.47811902,,2.634217041,,-1.457944182,
621,,,1,4.177171878,,2.113762654,,-0.908415935,
631,,,1,1.36909812,,2.440421384,,-0.706453868,
653,,,1,1.36909812,,2.249364027,,-0.706453868,
691,230,,1,11.35402423,,2.44571949,,-1.479591495,
691,,,1,11.35402423,,2.44571949,,-1.479591495,
693,,,1,1.36909812,,2.245028064,,-0.706453868,
694,230,,1,15.14508483,,3.154480317,,-1.852174059,
694,,,1,15.14508483,,3.154480317,,-1.852174059,
711,,,1,1.36909812,,1.996351892,,-0.706453868,
731,,,1,1.36909812,,2.397951373,,-0.706453868,
740,230,,1,6.058287748,,2.770553843,,-1.515738804,
740,,,1,375.9250781,,3.474680126,,-2.829832114,
741,210,,1,0.33955797,,1.61290223,,-0.118743698,
741,,,1,0.33955797,,1.61290223,,-0.118743698,
742,230,,1,21.73893596,,2.471001179,,-1.345104883,
742,,,1,21.73893596,,2.471001179,,-1.345104883,
743,210,,1,8.968358502,,2.36603478,,-1.321955543,
743,,,1,8.968358502,,2.36603478,,-1.321955543,
746,130,,1,2.813617869,,2.57824515,,-1.09278319,
746,210,,1,2.720163594,,2.543098465,,-1.098977778,
746,M330,,1,0.881281432,,1.722206012,,-0.526259153,
746,,,1,0.222624778,,1.942697995,,-0.202392206,
761,,,1,1.36909812,,2.147922301,,-0.706453868,
762,210,,1,1.615688223,,1.534361966,,-0.507104559,
762,,,1,0.508613912,,1.400511704,,-0.086220597,
800,,,1,0.383493368,,1.891016281,,-0.131159328,
802,210,,1,0.003211889,,1.242312652,,1.340444127,
802,220,,1,2.744926622,,2.142558784,,-0.716580588,
802,230,,1,0.2419275,,2.430741365,,-0.194894241,
802,M220,,1,0.038324012,,1.740655717,,0.500290321,
802,,,1,0.01137028,,1.365067162,,1.090732935,
806,,,1,349.2771318,,2.888645203,,-2.224941585,
807,,,1,0.383493368,,1.852450376,,-0.131159328,
812,,,1,7.753553301,,2.822250274,,-1.287874729,
813,,,1,0.383493368,,2.041564262,,-0.131159328,
819,,,1,0.383493368,,2.569148669,,-0.131159328,
820,,,1,0.383493368,,2.030312776,,-0.131159328,
822,230,,1,0.465148293,,1.970075533,,-0.24931345,
822,,,1,0.465148293,,1.970075533,,-0.24931345,
823,,,1,0.383493368,,1.807204005,,-0.131159328,
824,,,1,0.383493368,,2.579316285,,-0.131159328,
827,230,,1,9.412284538,,2.338414868,,-1.011294081,
827,,,1,9.412284538,,2.338414868,,-1.011294081,
828,230,,1,7.249260296,,1.858688751,,-0.756258096,
828,,,1,7.249260296,,1.858688751,,-0.756258096,
831,230,,1,0.121217897,,1.645923709,,0.244195489,
831,,,1,0.121217897,,1.645923709,,0.244195489,
832,M220,,1,0.420062158,,2.116951752,,-0.262764324,
832,,,1,2.864293586,,2.29721496,,-0.809503032,
833,210,,1,0.044051316,,1.89179929,,0.326716181,
833,,,1,0.109338181,,1.669486045,,0.246229104,
835,,,1,0.383493368,,1.932598943,,-0.131159328,
837,,,1,74.10011895,,2.76438191,,-1.882379699,
840,,,1,0.383493368,,2.369671351,,-0.131159328,
842,,,1,0.383493368,,2.368733661,,-0.131159328,
901,,,1,1.36909812,,2.305449324,,-0.706453868,
920,,,1,0.682168963,,2.081875867,,-0.485308401,
922,,,1,0.682168963,,2.200140357,,-0.485308401,
931,,,1,1.36909812,,2.196778494,,-0.706453868,
935,,,1,1.36909812,,2.270668607,,-0.706453868,
950,210,,1,6.084887867,,0.871949821,,-0.413104105,
950,,,1,1.90839636,,0.800356147,,-0.040441698,
951,,,1,1.36909812,,2.134589488,,-0.706453868,
952,,,1,1.36909812,,2.006987858,,-0.706453868,
970,230,,1,0.044396757,,1.984376756,,0.349578529,
970,,,1,0.020670895,,1.895260516,,0.57370371,
972,210,,1,0.253789985,,1.622158363,,-0.050499883,
972,,,1,0.066987852,,1.499037435,,0.368177458,
999,,,1,0.108882365,,1.689140368,,0.357235093,
