JENKINS_SPGRPCD,model,a,b,c
1,1,0.001056271,1.75979085,1.595518427
2,1,0.024642529,1.646231709,0.998562497
3,1,0.037089719,2.860515142,0.142562661
4,1,0.031937896,1.664554704,0.881859685
5,1,0.097302469,1.616028784,0.578632787
6,1,0.167920201,1.877056641,0.439608792
7,1,0.120087385,1.990554372,0.41355154
8,1,0.060205448,1.933727566,0.590397069
9,1,0.036743204,1.630276513,0.962121833
