SPCD,DIVISION,STDORGCD,model,alpha,beta
330,,,6,2.512570416,0.926378801
351,M240,,6,2.339745746,0.921133403
351,,,6,2.344539648,0.923693747
370,230,,6,2.566912367,0.851839016
370,M220,,6,2.501805384,0.889701048
370,,,6,2.523293638,0.873544856
371,130,,6,2.814348682,0.984179292
371,210,,6,2.194622984,0.888301633
371,220,,6,2.188431584,0.946072397
371,M210,,6,2.203704194,0.913895221
371,M220,,6,2.650541601,0.893462134
371,,,6,2.326737853,0.919246844
372,,,6,2.472498632,0.905071443
373,,,6,2.714435367,0.914221744
375,130,,6,2.441659787,0.924048668
375,210,,6,2.327114463,0.938617976
375,220,,6,2.198640561,0.892754512
375,M210,,6,2.337232642,0.948919816
375,,,6,2.374241255,0.933325361
379,,,6,2.388692295,0.914221744
391,,,6,2.524928391,0.902460358
400,220,,6,2.423858429,0.85748862
400,230,,6,2.441770008,0.859526583
400,M220,,6,2.403589931,0.865554193
400,M230,,6,2.522831954,0.961128669
400,,,6,2.430905595,0.864969744
402,,,6,2.448398408,0.895693876
403,220,,6,2.449134707,0.903225622
403,,,6,2.390749121,0.89694727
404,230,,6,2.413489658,0.88540344
404,,,6,2.413489658,0.88540344
405,,,6,2.478900472,0.895693876
407,,,6,2.411218817,0.899160986
409,,,6,2.500444116,0.895693876
421,220,,6,2.62203505,0.942845626
421,,,6,2.62203505,0.942845626
460,230,,6,2.629425824,0.85164221
460,,,6,2.643840861,0.852083048
461,230,,6,2.503691452,0.906013684
461,,,6,2.503691452,0.906013684
462,,,6,2.638271879,0.902460358
471,,,6,2.327129564,0.902460358
491,230,,6,2.628770481,0.878890906
491,,,6,2.622765312,0.871626558
521,230,,6,2.244302927,0.861049106
521,,,6,2.25677926,0.854768011
531,210,,6,2.320736982,0.944512627
531,220,,6,2.286181829,0.936513016
531,230,,6,2.794098688,0.873295878
531,M210,,6,2.305537581,0.935247967
531,M220,,6,2.676337647,0.899059042
531,,,6,2.503712085,0.922426667
540,230,,6,2.165550463,0.774395071
540,M220,,6,2.473147847,0.917732496
540,,,6,2.25509741,0.810009597
541,210,,6,2.515992448,0.924060926
541,220,,6,2.385411557,0.939880822
541,M210,,6,2.331975801,0.937726229
541,M220,,6,2.643286713,0.969994279
541,,,6,2.484769336,0.930237199
543,210,,6,2.30777632,0.897421404
543,,,6,2.313812217,0.903597452
544,230,,6,2.552265134,0.830166134
544,,,6,2.488153286,0.857884534
552,,,6,2.545450582,0.902460358
555,230,,6,2.29683746,0.790698943
555,,,6,2.29683746,0.790698943
591,230,,6,2.481503564,0.928105014
591,,,6,2.481503564,0.928105014
601,,,6,2.516943149,0.902460358
602,220,,6,2.424143029,0.950547647
602,M220,,6,2.502202836,0.930080404
602,,,6,2.499796233,0.945887372
611,230,,6,2.282656639,0.838748052
611,,,6,2.283517802,0.839442814
621,220,,6,2.466360747,0.941714455
621,230,,6,2.334513336,0.876582537
621,M220,,6,2.421612863,0.943375273
621,,,6,2.372655682,0.904388001
650,,,6,2.319233913,0.902460358
651,M220,,6,2.389740037,0.940990495
651,,,6,2.324881279,0.932036847
652,,,6,2.455293371,0.902460358
653,230,,6,2.149596166,0.756088757
653,,,6,2.149596166,0.756088757
680,,,6,2.858353056,0.902460358
691,230,,6,2.28692662,0.623051573
691,,,6,2.28692662,0.623051573
693,220,,6,2.44394411,0.895127734
693,230,,6,2.320240242,0.819372379
693,M220,,6,2.341122508,0.900278322
693,,,6,2.336705332,0.864944712
694,230,,6,2.07123065,0.684052254
694,,,6,2.07123065,0.684052254
701,,,6,2.530702213,0.902460358
711,,,6,2.472458959,0.902460358
731,230,,6,2.300410186,0.835124539
731,,,6,2.326676793,0.834775082
740,130,,6,2.243790144,0.871999962
740,M330,,6,2.1521561,0.969447213
740,,,6,2.254777399,0.932766526
741,130,,6,2.320044512,0.933560602
741,210,,6,2.40635193,0.920820003
741,,,6,2.340880628,0.924655082
742,,,6,2.577218215,0.925115048
743,130,,6,2.292377307,0.964387461
743,210,,6,2.311375758,0.97030674
743,,,6,2.308099836,0.96736921
745,,,6,2.750870343,0.965584036
746,130,,6,2.196485784,0.957638664
746,210,,6,2.248339145,0.95008636
746,220,,6,2.217906978,0.936890779
746,M130,,6,2.451986171,0.994446907
746,M330,,6,2.277876717,0.963595475
746,,,6,2.217737025,0.954474603
762,210,,6,2.391360937,0.950609984
762,220,,6,2.530477876,0.961967017
762,230,,6,2.515112698,0.912642177
762,M220,,6,2.417498737,0.962712432
762,,,6,2.43549805,0.947256313
800,230,,6,2.478170079,0.873668316
800,,,6,2.478170079,0.873668316
802,210,,6,2.605951905,0.889926475
802,220,,6,2.431021636,0.866163111
802,230,,6,2.368234503,0.815443198
802,M220,,6,2.413673221,0.851093936
802,M230,,6,2.480182684,0.91394106
802,,,6,2.397656373,0.835018634
804,,,6,2.549867816,0.895693876
806,220,,6,2.385529309,0.882220892
806,230,,6,2.386850507,0.831045133
806,M220,,6,2.394328555,0.866263533
806,,,6,2.392050741,0.856518917
809,,,6,2.579753941,0.895693876
812,230,,6,2.434957686,0.824926388
812,,,6,2.430894246,0.827652004
813,230,,6,2.327109557,0.810843012
813,,,6,2.330417274,0.811809788
817,,,6,2.661734426,0.895693876
820,230,,6,2.374065816,0.8001105
820,,,6,2.373998029,0.800346243
822,230,,6,2.52589268,0.880947284
822,,,6,2.52589268,0.880947284
823,,,6,2.523171845,0.895693876
825,230,,6,2.277576597,0.754766397
825,,,6,2.28394537,0.756971713
826,,,6,2.595277688,0.895693876
827,230,,6,2.415382281,0.839266917
827,,,6,2.415382281,0.839266917
828,230,,6,2.544569442,0.872173644
828,,,6,2.544569442,0.872173644
830,,,6,2.57555492,0.895693876
831,230,,6,2.480055545,0.835312319
831,,,6,2.476835259,0.834920863
832,220,,6,2.439776308,0.922999814
832,230,,6,2.46533766,0.896245651
