fia,letter
15,ABCO
17,ABRA
20,ABMA
22,ABPR
64,JUOC
81,CADE
108,PICO
116,PIJE
117,PILA
119,PIMO
122,PIPO
127,PISA
202,PSME
211,SESE
212,SEGI
231,TABR
251,TOCA
263,TSHE
264,TSME
299,UNCO
312,ACMA
352,ALRH
361,ARME
431,CHCH
492,CONU
631,NODE
746,POTR
801,QUAG
805,QUCH
818,QUKE
920,SASP
981,UMCA
998,UNHA
999,UNTR
