JENKINS_SPGRPCD,model,a,b,c
1,5,0.523742886,1.92197857,0.78279546
2,5,0.38826478,1.726525224,0.984599835
3,5,0.772534536,2.184545296,0.575832011
4,5,0.35304343,2.204853568,0.728083165
5,5,0.947256394,1.904257586,0.723009833
6,5,1.650798031,2.107712564,0.48072183
7,5,0.332263991,2.060786768,0.850173608
8,5,0.433906441,2.115626102,0.735074518
9,5,0.303328094,2.01600356,0.903672396
